//X Y Z R G B
50248
-1.24909723 -3.66184616 -5.06122494 0 0 126
-0.73634839 -4.36874008 -5.06118059 0 0 87
-1.09153235 -4.38535404 -5.05833101 0 0 133
-1.28990114 -3.70657253 -5.06232834 0 0 146
-1.04432702 -4.40929794 -5.05719709 0 0 138
-0.85153419 -3.25720954 -5.06369781 0 0 150
-0.82268119 -3.25292873 -5.063622 0 0 146
-0.80771506 -3.23550987 -5.05751514 99 0 0
-1.29160106 -3.80649519 -5.0611186 0 0 130
-1.25719869 -0.91821307 -5.06852531 0 0 129
-1.21516192 -3.72907495 -5.06160021 0 0 138
-1.43184185 -3.84331656 -5.05739307 160 0 0
-1.18167794 -0.8986153 -5.06517506 0 0 74
-0.76469034 -3.26089644 -5.06419706 0 0 143
-0.75554883 -3.38740301 -5.06327915 0 0 143
-1.38462448 -3.93512869 -5.05726099 0 0 92
-0.68881613 -3.28393149 -5.06373405 0 0 158
-1.39555895 -3.90023446 -5.06128883 0 0 148
-0.96914911 -3.5049839 -5.06105566 0 0 146
-0.95748287 -3.5047915 -5.06168652 0 0 146
-0.92508638 -3.52979589 -5.06116056 0 0 146
-0.93471074 -3.58433938 -5.06240702 0 0 144
-0.93647796 -3.57169724 -5.06207895 0 0 151
-1.36084044 -3.91756153 -5.05977678 0 0 95
-0.78849798 -3.38575411 -5.06015444 0 0 143
-0.79525381 -3.48565149 -5.06224728 0 0 136
-1.25408733 -3.89121675 -5.05957508 0 0 119
-1.53478336 -3.60904598 -5.06163502 0 0 136
-1.54605269 -3.62206483 -5.06140757 0 0 133
-1.29960096 -3.94963598 -5.06129885 0 0 138
-1.27527106 -3.9496851 -5.0590682 0 0 123
-1.21357012 -3.95785356 -5.05966282 0 0 108
-1.50002134 -3.65658855 -5.06276608 0 0 142
-1.49654269 -3.67855 -5.06176329 0 0 144
-1.49291146 -3.60875916 -5.06337261 0 0 143
-1.45218515 -4.16661501 -5.06114626 0 0 139
-1.43049073 -3.59945536 -5.05856848 82 0 0
-1.45173311 -3.62399578 -5.06301308 0 0 137
-1.45308423 -3.64417005 -5.06198645 0 0 131
-1.45920527 -3.73557472 -5.05646944 151 0 0
-1.26355553 -3.48094702 -5.05931091 99 0 0
-1.42018449 -4.43715858 -5.05810785 0 0 134
-1.5227356 -3.8500669 -5.05322838 0 0 94
-1.08852029 -4.51206923 -5.05796146 0 0 135
-0.61174053 -3.34578061 -5.06146002 0 0 150
-1.40623033 -5.96982956 -5.05200291 0 0 140
-1.10741341 -4.53727818 -5.05631733 0 0 157
-1.48558056 -3.83019137 -5.05868721 0 0 116
-1.3774296 -5.99190092 -5.05136967 72 0 0
-1.13172495 -4.70601177 -5.05429745 0 0 148
-0.56671542 -3.3062849 -5.05843973 0 0 133
-1.15363955 -3.68906474 -5.06118488 0 0 144
-1.34284151 -6.01777744 -5.05224085 0 0 138
-1.25327277 -1.42961502 -5.06715536 0 0 149
-1.22257078 -0.8149637 -5.07038784 0 0 135
-0.5403434 -3.34071374 -5.0597291 0 0 139
-1.18185794 -3.31602764 -5.06075525 0 0 132
-1.45259833 -4.00803614 -5.05770874 0 0 117
-1.42967355 -4.04579163 -5.05771112 0 0 69
-1.33207846 -5.87630653 -5.04985094 0 0 94
-1.41813707 -3.59033298 -5.05816889 0 104 0
-1.10510397 -0.89514768 -5.0642395 0 0 104
-1.12317181 -0.93241554 -5.06661272 0 0 140
-1.06754732 -4.64968014 -5.05784464 0 0 122
-1.0744164 -4.64469337 -5.0582943 0 0 123
-1.44693708 -3.68126416 -5.05555248 123 0 0
-1.1883924 -0.84558684 -5.0662818 89 0 0
-0.75047308 -3.48304939 -5.05902767 0 0 125
-1.33059824 -6.03492451 -5.05282545 0 0 160
-0.74815428 -3.46336365 -5.05833006 0 0 127
-0.64432168 -3.35178304 -5.06147242 0 0 143
-1.37410402 -6.06560373 -5.05197906 0 0 137
-1.01808894 -3.25433326 -5.06446934 0 0 138
-1.3654871 -3.62928438 -5.05925941 133 0 0
