//X Y Z R G B Nx Ny Nz
50000
3.35158491 4.39665461 -8.45277023 0 0 0 -0.399807 0.001286 -0.916599
5.89430904 8.45056820 -7.47135115 0 0 0 0.000978 -0.999999 0.000978
-1.20989418 8.58875561 -0.16269940 0 0 0 0.000978 -0.999999 0.000978
8.29859257 4.28416967 -3.84379005 0 0 0 0.000978 0.999999 0.000978
11.92617989 8.45044994 1.42328119 0 0 0 0.000978 -0.999999 0.000978
3.29767632 4.28416920 -1.17824996 0 0 0 0.000978 0.999999 0.000978
0.69650006 8.58870792 -2.30690169 0 0 0 0.000978 -0.999999 0.000978
10.67120838 6.54312992 -11.59044552 0 0 0 0.917945 0.001284 -0.396706
12.84650040 5.99174070 1.75290036 0 0 0 0.999987 0.000981 -0.004907
7.56096506 8.44357586 -2.21848965 0 0 0 0.000978 0.999999 0.000978
10.91336632 4.35535669 -1.83099389 0 0 0 0.000978 -0.999999 0.000978
6.02023125 4.28416967 -5.00854588 0 0 0 0.000978 0.999999 0.000978
9.78044319 4.35534143 -9.58782768 0 0 0 0.000978 -0.999999 0.000978
5.15982676 8.58862972 -3.92633986 0 0 0 0.000978 -0.999999 0.000978
12.15830421 4.28416872 -2.81628609 0 0 0 0.000978 0.999999 0.000978
5.70609283 8.44355774 -8.50507927 0 0 0 0.000978 0.999999 0.000978
12.30736065 8.44343185 0.93947911 0 0 0 0.000978 0.999999 0.000978
2.67607164 6.89950037 -8.00504017 0 0 0 0.899366 -0.192618 -0.392477
-0.57983506 4.35556650 -2.96954322 0 0 0 0.000978 -0.999999 0.000978
8.34120750 4.28416920 -0.60781479 0 0 0 0.000978 0.999999 0.000978
10.40962601 8.45046043 -7.95859337 0 0 0 0.000978 -0.999999 0.000978
3.55197048 8.45061588 -5.89766550 0 0 0 0.000978 -0.999999 0.000978
6.00920439 8.45060730 -2.14197516 0 0 0 0.000978 -0.999999 0.000978
3.55037880 4.35546160 -8.26703072 0 0 0 0.000978 -0.999999 0.000978
12.80869579 8.44340706 -4.73989677 0 0 0 0.000978 0.999999 0.000978
1.82951248 6.50520706 -0.92040038 0 0 0 0.294171 0.001221 0.955752
-2.05515242 7.54994154 -5.94015551 0 0 0 0.399807 0.001286 0.916599
-2.69232941 8.58874702 -4.08735418 0 0 0 0.000978 -0.999999 0.000978
3.29040837 6.49462986 -8.42604542 0 0 0 -0.399807 0.001286 -0.916599
-1.01675951 8.30768871 -4.34883022 0 0 0 0.000978 0.999999 0.000978
8.40867329 8.45050049 -6.90581226 0 0 0 0.000978 -0.999999 0.000978
5.42080736 6.92853689 -9.18108654 0 0 0 -0.899366 0.192618 0.392477
6.99275780 5.55288601 -2.61026549 0 0 0 -0.294171 0.001221 -0.955752
10.32370377 8.44345570 -10.25929260 0 0 0 0.000978 0.999999 0.000978
0.23532391 4.35555410 -3.11256194 0 0 0 0.000978 -0.999999 0.000978
13.32057953 8.44339561 -5.15688658 0 0 0 0.000978 0.999999 0.000978
3.98991632 7.18786669 -1.72610152 0 0 0 -0.931824 0.220658 0.288121
13.16577244 8.44339943 -5.44420195 0 0 0 0.000978 0.999999 0.000978
10.90644932 7.06836414 -11.59467506 0 0 0 0.900361 0.183541 -0.394540
12.61493206 7.40742874 -11.67138290 0 0 0 0.008027 0.184629 0.982776
12.84526634 4.52615452 1.49500561 0 0 0 0.999987 0.000981 -0.004907
4.24918079 8.58863735 -4.76470470 0 0 0 0.000978 -0.999999 0.000978
1.62316430 4.95689344 -0.56359529 0 0 0 -0.925729 0.001273 0.378186
11.11673355 8.44343948 -8.62126732 0 0 0 0.000978 0.999999 0.000978
0.18153119 8.45068264 -3.65755916 0 0 0 0.000978 -0.999999 0.000978
8.91380882 5.02693939 -1.43071628 0 0 0 -0.372047 0.001270 -0.928213
-0.68405282 8.45068741 -4.77474689 0 0 0 0.000978 -0.999999 0.000978
2.06662750 8.30763912 -4.78769922 0 0 0 0.000978 0.999999 0.000978
8.44488621 8.30752468 -4.95026159 0 0 0 0.000978 0.999999 0.000978
9.44803047 4.35541201 -0.32250309 0 0 0 0.000978 -0.999999 0.000978
4.53755474 7.60886812 -8.82075405 0 0 0 0.399807 0.001286 0.916599
7.75964308 7.10949469 -2.92116380 0 0 0 0.297091 0.001223 0.954848
5.85204601 8.58861542 -4.46924877 0 0 0 0.000978 -0.999999 0.000978
0.51437068 4.35553837 -5.02028942 0 0 0 0.000978 -0.999999 0.000978
12.70788097 4.70160103 -6.41289234 0 0 0 -0.999987 0.000981 0.004907
2.85847783 5.50630856 -1.31955206 0 0 0 0.302950 0.001227 0.953006
2.74801445 8.30760288 -8.22874546 0 0 0 0.000978 0.999999 0.000978
12.44894791 6.06611490 1.75995684 0 0 0 -0.006883 0.000983 -0.999976
-3.45658779 8.44371891 -5.58914089 0 0 0 0.000978 0.999999 0.000978
2.70997310 4.35549164 -6.44180918 0 0 0 0.000978 -0.999999 0.000978
12.79855728 4.42066860 -8.38459778 0 0 0 0.999987 0.000981 -0.004907
4.86803102 8.30761433 -2.39005375 0 0 0 0.000978 0.999999 0.000978
