//X Y Z R G B Nx Ny Nz
50000
-8.55554390 4.43041277 13.39277935 0 0 0 0.999999 0.000978 0.000978
-5.96535587 9.63030243 6.14194918 0 0 0 0.000978 -0.999999 0.000978
-8.94006348 9.74268246 5.09269953 0 0 0 0.001098 0.991141 -0.132811
-9.82122612 4.28417110 -4.23210526 0 0 0 0.000978 0.999999 0.000978
-7.13706017 9.87270546 5.93872452 0 0 0 0.000978 -0.999999 0.000978
-8.18849945 4.28417063 -3.90260696 0 0 0 0.000978 0.999999 0.000978
-6.70411825 10.33230114 7.44722748 0 0 0 -0.406019 0.913864 0.001289
-7.06747007 4.28416777 19.68444252 0 0 0 0.000978 0.999999 0.000978
-6.91509819 10.38395596 10.58217335 0 0 0 0.003789 0.935854 0.352366
-10.13684845 9.48787689 8.81567860 0 0 0 -0.999999 0.000978 0.000978
-9.86179066 9.36269093 14.44321442 0 0 0 0.001093 0.991782 0.127937
-5.83594799 8.03939819 6.98591518 0 0 0 -0.999999 0.000978 0.000978
-5.73594999 6.87907839 10.92000866 0 0 0 0.999999 0.000978 0.000978
-9.72397614 5.51925373 12.00171185 0 0 0 0.018902 0.999821 0.000995
-5.97442055 9.59031677 12.84186459 0 0 0 0.001100 0.990809 0.135260
-7.90823984 9.91708088 6.40219879 0 0 0 0.001098 0.991141 -0.132811
-9.12335014 9.87270546 11.63411617 0 0 0 0.000978 -0.999999 0.000978
-9.95806503 9.62406158 12.59369087 0 0 0 0.001100 0.990809 0.135260
-6.00827789 5.28299570 12.27282619 0 0 0 0.000978 -0.999999 0.000978
-8.85315990 4.28417063 -1.57352638 0 0 0 0.000978 0.999999 0.000978
-6.68809795 9.26013851 3.05549240 0 0 0 0.999999 0.000978 0.000978
-9.86745644 4.28417063 -2.99492168 0 0 0 0.000978 0.999999 0.000978
-5.73595238 7.44785929 13.48395634 0 0 0 0.999999 0.000978 0.000978
-6.00922537 9.63030148 7.83150530 0 0 0 0.000978 -0.999999 0.000978
-6.45791626 4.28416920 4.09636736 0 0 0 0.000978 0.999999 0.000978
-7.27343798 4.28416920 3.70166302 0 0 0 0.000978 0.999999 0.000978
-6.68233156 8.29916191 15.50858974 1 1 1 0.375707 0.810567 -0.449249
-7.66498327 5.05499744 5.91058493 0 0 0 -0.099058 -0.106050 -0.989414
-5.83562994 4.57249641 13.43191147 0 0 0 -0.989688 -0.105830 0.096527
-6.14370203 9.85440159 5.93156242 0 0 0 0.001098 0.991141 -0.132811
-5.75899839 9.83164692 2.45482612 0 0 0 0.000978 0.000978 -0.999999
-10.34812641 9.87270451 9.74290752 0 0 0 0.000978 -0.999999 0.000978
-11.27456188 4.28416920 8.67870903 0 0 0 0.000978 0.999999 0.000978
-9.74649429 4.58520412 14.05113792 0 0 0 0.000978 0.000978 0.999999
-9.07648945 9.72437477 11.64308643 0 0 0 0.001093 0.991782 0.127937
-6.25951624 9.33486652 13.76354122 0 0 0 0.001093 -0.991782 -0.127937
-10.15258598 9.66263962 6.48873281 0 0 0 0.001273 -0.378186 -0.925729
