//X Y Z R G B Nx Ny Nz
50000
9.91348839 5.68475628 10.43059349 0 0 0 0.991491 -0.099722 0.083675
7.89437151 4.28416872 2.15508652 0 0 0 0.000978 0.999999 0.000978
10.50971127 7.87014580 1.73123622 0 0 0 -0.985368 -0.170436 0.001129
9.42308712 6.32648754 1.87903488 0 0 0 0.006883 0.000983 0.999976
12.68525505 6.97103786 -0.16143994 0 0 0 0.008478 0.270069 0.962804
8.69462872 6.17128992 -0.34331930 0 0 0 -0.076536 0.001048 -0.997066
5.84242964 6.68595982 2.44448614 0 0 0 0.000978 0.000978 0.999999
5.78750849 8.62218666 5.90387011 0 0 0 0.000978 0.000978 0.999999
6.07335281 10.08173180 2.91193962 0 0 0 0.000978 -0.999999 0.000978
8.55272675 4.28416872 3.21312523 0 0 0 0.000978 0.999999 0.000978
7.93355656 4.28416824 10.47900581 0 0 0 0.000978 0.999999 0.000978
9.91342449 5.46317244 8.19984436 0 0 0 0.994956 -0.100033 -0.007529
9.86892319 7.39133263 1.73670614 0 0 0 -0.985368 0.170436 0.001129
6.85962248 10.08173180 2.18016171 0 0 0 0.000978 -0.999999 0.000978
5.77964401 8.66899014 5.90387011 0 0 0 0.000978 0.000978 0.999999
10.42757416 8.30749416 0.33339489 0 0 0 0.000978 0.999999 0.000978
11.87683296 6.59724951 1.86357510 0 0 0 0.006883 0.000983 0.999976
7.47601223 4.28416824 9.94426155 0 0 0 0.000978 0.999999 0.000978
5.92588568 5.92998505 4.16497517 0 0 0 0.620291 -0.783452 -0.037977
5.81361341 9.30369377 11.59375191 0 0 0 -0.999999 0.000978 0.000978
9.58917236 8.44352531 1.31241775 0 0 0 0.000978 0.999999 0.000978
6.25776482 10.08173180 2.19900560 0 0 0 0.000978 -0.999999 0.000978
8.97165298 4.35531139 -1.08221400 0 0 0 0.000978 -0.999999 0.000978
8.57596302 5.39688921 5.09165144 0 0 0 0.000978 -0.999999 0.000978
11.63714790 8.58848286 0.61016124 0 0 0 0.000978 -0.999999 0.000978
11.25747490 8.44346809 1.45374453 0 0 0 0.000978 0.999999 0.000978
13.67923737 4.28416872 0.99765587 0 0 0 0.000978 0.999999 0.000978
6.69385815 6.10574293 6.24105644 0 0 0 -0.159082 0.987213 0.010154
7.73695374 4.28416920 1.10313416 0 0 0 0.000978 0.999999 0.000978
13.71651459 4.28416824 8.11955643 0 0 0 0.000978 0.999999 0.000978
12.02600956 7.03301239 1.73965287 0 0 0 0.000978 0.000978 -0.999999
11.77481079 8.58847809 1.43893123 0 0 0 0.000978 -0.999999 0.000978
9.02773666 7.87509871 0.72823972 0 0 0 0.999960 0.000985 -0.008867
9.62235451 8.45052910 -0.01373768 0 0 0 0.000978 -0.999999 0.000978
5.75782013 8.88083649 5.90386868 0 0 0 0.000978 0.000978 0.999999
7.62339020 6.16133308 5.99744415 0 0 0 -0.999999 0.000978 0.000978
9.99457550 8.23896408 1.71136606 0 0 0 0.985368 -0.170436 -0.001129
10.84806633 8.45048714 -0.87063444 0 0 0 0.000978 -0.999999 0.000978
12.70830154 4.28416824 7.83701324 0 0 0 0.000978 0.999999 0.000978
9.00080013 4.28416824 4.94430923 0 0 0 0.000978 0.999999 0.000978
9.04908657 8.35553455 0.84512925 0 0 0 0.000978 -0.999999 0.000978
13.78117275 8.58841324 -0.52671194 0 0 0 0.000978 -0.999999 0.000978
12.84072685 6.71292162 0.53001297 0 0 0 0.999987 0.000981 -0.004907
9.03850555 8.22171593 1.10670102 0 0 0 -0.008218 0.219533 -0.975570
13.22059059 4.28416824 6.07654095 0 0 0 0.000978 0.999999 0.000978
12.84729958 6.85523653 1.78672981 0 0 0 0.000978 0.999999 0.000978
11.89458656 4.28416777 12.05675411 0 0 0 0.000978 0.999999 0.000978
8.59741306 6.74634123 -0.33581185 0 0 0 -0.076536 0.001048 -0.997066
8.89628601 6.25222540 0.71149039 0 0 0 -0.999976 0.000983 0.006883
8.68849182 6.10574293 10.69566441 0 0 0 -0.005399 0.994485 0.104739
8.10126877 4.28416824 5.00141525 0 0 0 0.000978 0.999999 0.000978
7.81609821 4.28416824 3.50905418 0 0 0 0.000978 0.999999 0.000978
10.62687016 8.58851814 1.84889078 0 0 0 0.000978 -0.999999 0.000978
10.65555668 4.35536766 1.09169459 0 0 0 0.000978 -0.999999 0.000978
6.33096361 4.36006021 8.95144081 0 0 0 0.055519 -0.998299 0.017808
11.19883728 8.58849907 2.29758692 0 0 0 0.000978 -0.999999 0.000978
10.24999619 4.35538197 -0.62051588 0 0 0 0.000978 -0.999999 0.000978
7.51045799 4.28416920 1.84730911 0 0 0 0.000978 0.999999 0.000978
5.84768295 10.08173180 1.84702253 0 0 0 0.000978 -0.999999 0.000978
10.43754292 8.58852482 -0.77312374 0 0 0 0.000978 -0.999999 0.000978
5.91361570 6.88478947 9.68381119 0 0 0 0.999999 0.000978 0.000978
9.92698860 5.86422777 5.72308683 0 0 0 0.999999 0.000978 0.000978
11.83844376 6.38002634 1.76381075 0 0 0 -0.006883 0.000983 -0.999976
6.43180180 4.28416824 8.80183315 0 0 0 0.000978 0.999999 0.000978
9.28758621 4.28416872 3.05420876 0 0 0 0.000978 0.999999 0.000978
13.04896355 8.44340515 -0.68255818 0 0 0 0.000978 0.999999 0.000978
6.90081835 10.08173180 9.07473755 0 0 0 0.000978 -0.999999 0.000978
9.82185555 6.38270617 4.68839264 0 0 0 -0.999999 0.000978 0.000978
6.15665627 10.61036396 6.07247972 0 0 0 0.406019 0.913864 0.001289
6.92003536 4.28416777 12.07086945 0 0 0 0.000978 0.999999 0.000978
5.91361523 8.53559017 9.97401237 0 0 0 0.999999 0.000978 0.000978
6.96446037 10.25100899 6.62099648 0 0 0 0.406019 0.913864 0.001289
9.93625069 5.93529654 6.16899586 0 0 0 0.311395 -0.944787 -0.102032
8.49732113 6.03304720 6.20252705 0 0 0 0.000978 0.000978 0.999999
5.85410500 10.10830975 9.21234131 0 0 0 0.000978 0.000978 0.999999
13.85619068 8.58841133 1.20743418 0 0 0 0.000978 -0.999999 0.000978
5.86608267 6.11958933 7.33245897 0 0 0 0.000978 -0.999999 0.000978
5.91361427 6.72044277 11.05501747 0 0 0 0.999999 0.000978 0.000978
9.40291595 5.08488846 4.51446581 0 0 0 0.000978 -0.999999 0.000978
7.55037737 6.10574293 6.33890629 0 0 0 -0.109010 0.994040 0.001079
5.91921520 7.53457642 4.72980452 0 0 0 -0.999999 0.000978 -0.000978
8.43715572 5.86511707 4.14883566 0 0 0 -0.999999 -0.000978 0.000978
8.66214085 8.58858681 -0.09199286 0 0 0 0.000978 -0.999999 0.000978
9.91344357 6.31045675 8.40593529 0 0 0 0.000978 0.000978 0.999999
9.89988422 8.45051956 1.70735419 0 0 0 0.000978 -0.999999 0.000978
9.63726044 4.97838545 10.82679939 0 0 0 0.101181 -0.101181 0.989709
12.78364849 6.61548138 -1.08137703 0 0 0 0.999892 0.012960 -0.006978
6.24922085 10.54840469 2.33893967 0 0 0 0.001219 0.956644 -0.291258
7.14272070 10.08173180 6.76178312 0 0 0 0.000978 -0.999999 0.000978
11.71185493 4.28416824 7.47062874 0 0 0 0.000978 0.999999 0.000978
9.60918999 6.16357613 1.87785888 0 0 0 0.006883 0.000983 0.999976
5.84221125 6.11957026 9.15313911 0 0 0 0.000978 -0.999999 0.000978
5.88427925 7.39183950 3.75224257 0 0 0 -0.999917 -0.012857 0.000989
5.81361914 6.59101057 5.45443630 0 0 0 -0.999999 0.000978 0.000978
5.81361818 6.11394882 7.64651871 0 0 0 -0.999999 0.000978 0.000978
9.02040863 4.28416872 2.85932159 0 0 0 0.000978 0.999999 0.000978
6.86548233 4.28416824 5.78204918 0 0 0 0.000978 0.999999 0.000978
12.52125645 8.45042801 0.39612126 0 0 0 0.000978 -0.999999 0.000978
11.03803158 4.28416824 8.99140644 0 0 0 0.000978 0.999999 0.000978
5.86506748 5.84586000 2.46832895 0 0 0 0.098447 -0.098447 -0.990261
5.81361437 7.27104616 10.87981701 0 0 0 -0.999999 0.000978 0.000978
12.75147629 4.99291849 -0.94409031 0 0 0 0.000978 0.999999 0.000978
6.85451794 10.08173180 5.72651815 0 0 0 0.000978 -0.999999 0.000978
